job_title,job_description,company_name
R&D Senior / Embedded Software Engineer - Tuas Lane (3 minutes from MRT),"Our client is a emergent brand name in the medtech sector. We are looking for like-minded individuals who are passionate to join them to develop their next generation of medical electronics. Senior / Firmware Engineer (Tuas West – stepper motor) Responsibilities You will be part of a team of 40+ R&D engineers in Singapore & India including engineers from the Mechanical, Software, Electronics and Systems Engineering discipline. Develop Embedded software in C, C++ for 32-bit microcontrollers Develop and change-manage various levels of software requirements for medical devices (System and Module level) Work with stakeholders to identify and assess product risks (frequency, certainty, severity, and mitigations). Must have the ability to think clearly to root causes and make logical decisions.  Should have the ability to recommend, convince, and implement the most pragmatic solutions. Evaluation and select system hardware and software architectures, designs, and parts. Ensure that they support all clinical/functional, operational, & financial requirements as well as overall product quality. Make definite recommendations and decisions via trade-off analyses. Involve in all aspects of software development cycle for medical devices in accordance with IEC62304 When assigned, define architecture of the software, involve in risk assessment and failure mode analysis, develop code, review test plans and V&V results. Working knowledge of PCBA design, reading EE Schematics, understanding 3D product models and work with the hardware engineering team Working with internal and external partners including marketing & product management, systems engineering, project management, hardware engineering, supply chain, manufacturing, QA/RA, V&V teams Drafting requirements for external suppliers and tracking the deliverables to closure Requirements Bachelors/Masters in Software or Electronics Engineering or related discipline Must have experience in launching at least 1 product from concept to commercialization Extremely hands-on in rigging up systems to make the software run/test the software Solid hands on understanding of RTOS, full stack working knowledge of I2C, SPI, CAN, UART, USB including debugging. Experienced in programming drivers and application for electromechanical parts like Pumps, Valves, Solenoids, Motors etc Interested applicants, kindly send in a copy of your updated resume in WORD document to hr@searchstaffing.com.sg stating your current and expected remuneration together with notice period required to current employer. EA Personnel Registration No: R1879665",SEARCH STAFFING SERVICES PTE. LTD
Senior / Software Engineer (Full stack),"The Company  We are currently partnering with a well-established consulting firm who is seeking dynamic Senior / Software Engineers to join their growing team in Singapore.   The Role  As a Software Engineer, you will play a crucial role in the design and implementation of system-level software, including the development and documentation of software system architecture to ensure its robustness and scalability. You will conduct design analysis and hardware reviews, ensuring seamless integration between software and hardware components and functionalities to achieve optimal system performance.   Your Profile  You are a degree holder with 3+ years of experience as a developer. You have strong programming skills in at least one language such as Java, C#, Golang, or Python. You have proficiency with at least one front-end framework (e.g., React, Vue, Angular), experience working with databases (e.g., PostgreSQL, MySQL), and familiarity with cloud computing platforms (e.g., AWS, Azure, Google Cloud). You possess strong problem-solving skills and the ability to think critically.   Apply Today  Please send your resume, in WORD format only and quote reference number RK12789538, by clicking the apply button. Please note that only short-listed candidates will be contacted.    Robert Half International Pte Ltd Co. Registration: 200612189E | EA Licence No: 07C5595 | Ren Kelsey | EA Registration No: R1108421 By clicking 'apply', you give your express consent that Robert Half may use your personal information to process your job application and to contact you from time to time for future employment opportunities. For further information on how Robert Half processes your personal information and how to access and correct your information, please read the Robert Half privacy notice: https://www.roberthalf.com.sg/privacy-statement. Please do not submit any sensitive personal data to us in your resume (such as government ID numbers, ethnicity, gender, religion, marital status or trade union membership) as we do not collect your sensitive personal data at this time.",Robert Half International Pte Ltd
Senior Software Engineer - VPN App Development,"As a Senior Software Engineer specializing in VPN and low-level development, you will lead the design and implementation of our VPN applications across various platforms (iOS, Android, Windows). Your expertise in developing encrypted connections between proxy servers and clients will play a crucial role in advancing our technology and maintaining our commitment to user privacy and security.  Key Responsibilities: Lead the development of high-performance, secure VPN applications for iOS, Android, and Windows platforms. Design and implement high-performance networking code using Rust and platform-native languages such as Flutter, Golang. Design and implement robust encrypted connection protocols between proxy servers and various clients. Collaborate with cross-functional teams to identify and integrate advanced security features into our VPN solutions. Troubleshoot and optimize VPN application performance across all platforms. Stay up-to-date with the latest trends and advancements in VPN technologies, encryption methods, and platform-specific development practices. Desired Skills and Experience: Proven experience in VPN application development on various platform (iOS, android, desktop), with a portfolio of successful VPN projects. Proficiency in lower-level languages, such as Rust, C, and C++. Deep understanding of network protocols (TCP/IP, UDP, DNS, HTTP/S), VPN technologies (V2Ray, WireGuard), and encryption algorithms (AES, RSA). Experience with low-level network programming and familiarity with operating system networking APIs. Comfortable with multi-threaded, asynchronous code development.  Outstanding communication skills, both verbal and written, with the ability to articulate technical concepts clearly and effectively.",BIDOT TECH PTE. LTD
Assistant Software Engineer,"Duties and responsibilities : Assists in gathering User Requirements Assists in creating Functional Specification and Basic Design Develops the assigned software modules and performs internal testing Assists in setting up of PC hardware, Server, and other peripherals Assists in the commissioning of software on-site Assists in creating software deliverables (Operation, Troubleshooting manual etc) Assists in the handing over of software deliverables to customer  Job Requirement Proficiency in Java and object-oriented design skills Good understanding of relational databases and SQL. Oracle preferred Basic understanding of PLC programming is an advantage Experience with AWS is an advantage",Daifuku Mechatronics (S) Pte Ltd
Senior Software Engineer (Java),"Activate Interactive Pte Ltd (“Activate”) is a leading technology consultancy headquartered in Singapore with a presence in Malaysia and Indonesia. Our clients are empowered with quality, cost-effective, and impactful end-to-end application development, like mobile and web applications, and cloud technology that remove technology roadblocks and increase their business efficiency. We believe in positively impacting the lives of people around us and the environment we live in through the use of technology. Hence, we are committed to providing a conducive environment for all employees to realise their full potential, who in turn have the opportunity to continuously drive innovation. We are searching for our next team members to join our growing team. If you love the idea of being part of a growing company with exciting prospects in mobile and web technologies that create positive impact on people’s lives, then we would love to hear from you. Co-Development Business Unit is looking for Senior Software Engineer (Java) Internal Code: A24010 What will you do? The team is seeking a highly motivated senior software engineer that will write beautiful code and satisfy the customer through early and continuous delivery of working software. If you are looking for opportunities to collaborate with leading industry experts and be surrounded by highly motivated peers, we welcome you to join us. These are newly created positions with many opportunities for groundbreaking contributions. Design, develop, test, deploy, maintain and improve software applications. Improve software quality using Scrum practices such as code review and unit testing. Assist PO/BA on user stories refinement. Assist QA on test automation and bug fixes. Assist DevOps on build and release automation. Prepare interface specifications and other architecture documents. Adheres to Software Craftsmanship Manifesto. Able to identify potential technical pitfalls and challenges and set directions that will help to guide the team towards solving difficult technical problems. Support and develop software engineers by providing advice, coaching and development opportunity Experience in communication with business users, other technical teams and management to collect requirement, coordinate effort across teams and identify tasks and provide estimates Able to grasp business domain concepts and manage requirements coming from stakeholders. Able to prioritize, communicate clearly and demonstrate a consistent track record of delivery and excellent software engineering skills What are we looking for: Degree in Computer Science, Computer or Electronics Engineering, Information Technology or related disciplines. Familiar with cloud-native technology. Familiar with Clean Code, Design Patterns and Unit Testing. Familiar with multi-paradigm programming languages. Knowledge and experience in Java Spring Framework / Angular / Apache Spark / Data Engineering/ETL will be advantageous. Technical knowledge and experience in designing and developing applications in AWS cloud environment (RDS, Glue, Lambda, MSK) will be advantageous. Working experience in Agile and UX development environments will be an added advantage. A Pass in ICT Assessment Certification for Solution Architect or Software Developer by NUS-ISS is strongly preferred. What do we offer in return? Fun working environment Employee Wellness Program Does it sound like something you are interested in exploring further? Please be in touch with our team for an initial chat at chi@activate.sg Activate Interactive Singapore is an equal opportunity employer. Employment decisions will be based on merit, qualifications and abilities. Activate Interactive Pte Ltd does not discriminate in employment opportunities or practices on the basis of race, colour, religion, gender, sexuality, national origin, age, disability, marital status or any other characteristics protected by law. Protecting your privacy and the security of your data are longstanding top priorities for Activate Interactive Pte Ltd. Your personal data will be processed for the purposes of managing Activate Interactive Pte Ltd’s recruitment related activities, which include setting up and conducting interviews and tests for applicants, evaluating and assessing the results, and as is otherwise needed in the recruitment and hiring processes. Please consult our Privacy Notice (https://www.activate.sg/privacy-policy) to know more about how we collect, use, and transfer the personal data of our candidates. Here you can find how you can request for access, correction and/or withdrawal of your Personal Data.",Activate Interactive Pte Ltd
"Senior Software Engineer (React.js, Next.js, NodeJS)","Activate Interactive Pte Ltd (“Activate”) is a leading technology consultancy headquartered in Singapore with a presence in Malaysia and Indonesia. Our clients are empowered with quality, cost-effective, and impactful end-to-end application development, like mobile and web applications, and cloud technology that remove technology roadblocks and increase their business efficiency. We believe in positively impacting the lives of people around us and the environment we live in through the use of technology. Hence, we are committed to providing a conducive environment for all employees to realise their full potential, who in turn have the opportunity to continuously drive innovation. We are searching for our next team members to join our growing team. If you love the idea of being part of a growing company with exciting prospects in mobile and web technologies that create positive impact on people’s lives, then we would love to hear from you. Co-Development Business Unit is looking for Senior Software Engineer Internal Code: A24036 What will you do? We are looking for software developers that are open and enthusiastic about end to end software delivery and trying out new technologies. Be part of a cross-functional development team that values quality, automation and user experience of the software we deliver. Mainly responsible for software design and development of web frontend and backend applications Write automated functional and unit testing for the code you write Develop backend APIs & databases supporting the applications Design and develop applications leveraging cloud technologies Assist DevOps Engineer on build and release automation Work closely with fellow developers in pair programming and code review Work closely with Business Analyst, Quality Engineer, User Interface/User Experience Designers to deliver features What are we looking for? Experience with front-end development framework such as React.js / Next.js Experience in server-side web application development using Node.js Experience on working on CI/CD pipeline Experience of leveraging on cloud platforms such as Amazon AWS, Azure or Google Cloud; Platform (GCP) Familiar with Javascript unit testing frameworks such as Jest or Mocha Familiar with Agile and Continuous Integration and Delivery Practices Familiar with version control using Git Open to work on other platforms because we want a cross-functional team Solid Fundamentals in Javascript & Typescript Familiarity with building reusable web components will be an advantage Familiarity on how search engines components work (crawl, index, search) Familiar with practices such as Test-Driven Development and Behavior-Driven Development Familiar with Docker Collaborative team player with good interpersonal and presentation skills Minimum of 3-5 years of software development experience A Pass in ICT Assessment Certification for Solution Architect or Software Developer by NUS-ISS is strongly preferred. What do we offer in return? Fun working environment Employee Wellness Program Does it sound like something you are interested in exploring further? Please be in touch with our team for an initial chat at chi@activate.sg Activate Interactive Singapore is an equal opportunity employer. Employment decisions will be based on merit, qualifications and abilities. Activate Interactive Pte Ltd does not discriminate in employment opportunities or practices on the basis of race, colour, religion, sexuality, national origin, age, disability, marital status or any other characteristics protected by law. Protecting your privacy and the security of your data are longstanding top priorities for Activate Interactive Pte Ltd. Your personal data will be processed for the purposes of managing Activate Interactive Pte Ltd’s recruitment related activities, which include setting up and conducting interviews and tests for applicants, evaluating and assessing the results, and as is otherwise needed in the recruitment and hiring processes. Please consult our Privacy Notice (https://www.activate.sg/privacy-policy) to know more about how we collect, use, and transfer the personal data of our candidates. Here you can find how you can request for access, correction and/or withdrawal of your Personal Data.",Activate Interactive Pte Ltd
Software Engineer (C++/C#) - DSC/JS/14172,"Job Responsibilities: Involve in software architecture design Perform user requirement gathering, design and development of simulation system Translate UI/UX requirements into UI components Software application implementation, integration, deployment as well as troubleshooting Software quality check Evaluate the attribute or capability of the system & determine that it meets the expected results Job Requirements: Entry level candidates are welcome Knowledge in C++/C#, object-oriented programming and design methodology would be advantage. Willingness to learn C++/C# programming.",ST Engineering Ltd
Software Engineer (Automation/Embedded System Firmware),"Job Role: As the Software Engineer – Automation/Embedded System Firmware, you will serve as an expert in the domain of robotics automation engineering, PLC programming and be involved in embedded system firmware development. Your responsibilities will encompass the entire development lifecycle, from requirement definition and conceptualization to commissioning and troubleshooting, both on-site and remotely. In addition, you will function as the architect for our existing product and software, collaboratively contributing to the development of cutting-edge robotic and machine prototypes and simulations. Collaboration with the Operations Team during commissioning processes is an integral aspect of this role. Responsibilities: Robotics Engineering: Your duties will involve programming articulated robots, engaging with physical robots and their simulation, and utilizing various robot simulation tools to create multi-robot trajectories. Code Development: You will be responsible for programming and parameterizing PLCs for our machines and robots, utilizing programming languages such as ST and Ladder Logic. Close collaboration with motion design and control for industrial drives and servos is expected. You will also be responsible for developing embedded firmware based on project requirements on our custom hardware system. Testing and Product Development: Your role will include the development of bug fixes and new automation projects, as well as active participation in the development, implementation, and testing of new product prototypes. Commissioning and Troubleshooting: As a proactive team player role, you will coordinate all automation-related commissioning and PLC tasks at customer locations. For the firmware portion, you will need to work with teammates from other disciplines on system bring-up and design validation. Communication and Connection: Creating communication pathways to online or edge devices using EtherCAT, OPC, Eip, Modbus, Modbus/TCP, and socket connections. Besides that, you also will deal with other embedded system-related protocols such as SPI, I2C, CAN Bus and Modbus/RTU. Requirements: 2 to 3 years of professional experience in a similar role, preferably within a product-focused automation or robotics company. Demonstrated proficiency in programming articulated robots, with a preference for experience with ABB robots and robot simulation using Robot studio. Understanding of robot coordinates. PLC, HMI programming experience ideally Beckhoff, twincat 3. Strong grasp of Object-Oriented Programming (OOP) concepts. Hold an academic degree in Automation, Electrical, Mechatronics, or an equivalent field of study. Familiar with STM32 family controller and RTOS is a plus. Able to understand electronic schematics. We regret that only shortlisted applicants will be notified.",HOPE Technik Pte Ltd
Software Engineer (ERP),"Responsibilities: Responsible for delivering enhancements and continuous improvements to ERP and other backend systems Work with Application Managers and System Analysts to meet business requirements Transpose user needs into technical programming Source Code and version control Develop test plans and cases, as well as, the technical and functional documentations according to the adopted methodologies. Participate in ERP upgrade programming, data migration and user testing Integrates ERP with various applications like POS, eCommerce & Marketplace platforms, etc Assist in administrating Azure/ Hyper-V servers and SQL Databases  Requirements: Diploma/degree in Computer Science, Software engineering or other similar discipline. Minimum 3 years of programming experience in Navision C/SIDE or Microsoft Dynamics Business Central AL, Transact-SQL A passion on programming and attention to details Able to work in both independent and teamwork environment Experience in upgrading application from Microsoft Dynamics-NAV to Business Central will have priority considerations Additional work experience in various program languages like Oracle PL/SQL, Java, C++ will be advantageous Knowledge in source code management tools like JIRA, Microsoft DevOps, Bitbucket, Git, etc will be a bonus Must be fluent in English  Only shortlisted candidates will be notified. Please apply with a detailed resume indicating reasons for leaving, last drawn salary, expected salary and date of availability.",TWG Tea Company Pte Ltd
Software Engineer,"Work together with a team of highly skilled Software Engineers and Data Scientists in software product deployment and delivery at world leading semiconductor manufacturers. Actively involved in product enhancement (in the area of visualization and algorithms) which improves the quality of D-SIMLAB product. Responsible for key software components development.  We are looking for candidates fulfil the following criteria: Bachelor/Master Degree specialises in Computer Science/Engineering or Industrial Engineering Minimum 3 years experience in software product development Well versed in C#, .NET, SQL Experience in UI design and development is a plus Enjoy working with experts with different cultural and technical backgrounds Love to travel the world and work on challenging projects Interest in career progression by strengthening technical and soft skills",D-SIMLAB TECHNOLOGIES PTE LTD
Senior Software Engineer,"Our client is a systems integrator based in Singapore with a rich history of delivering secure, reliable, and cutting-edge solutions. With a focus on full turn-key services encompassing design, development, integration, testing, commissioning, and post-implementation maintenance, we empower our clients to achieve their security and operational objectives.  They recognize that employees are their greatest asset and are dedicated to nurturing talent through continuous career development, motivational initiatives, and competitive remuneration packages. Currently we are search of dynamic individuals who are results-driven, passionate about their craft, and eager to contribute to the evolution of the homeland security industry.    Education / Experience: Diploma or Bachelor's Degree in Computer Science, Information Technology, or equivalent. Minimum of 2 years of relevant working experience. Fresh graduates may be considered.   As a Senior Software Engineer specializing in applications, you will be responsible for:  Designing, developing, and delivering functional software applications to meet customer operational objectives. Enhancing software quality through the implementation of XP practices such as code reviews and unit testing. Adhering to the principles of the Software Craftsmanship Manifesto. Drafting architectural and technical documentation. Collaborating with Business Analysts to elaborate on user stories. Assisting Quality Assurance in test automation and resolving bugs. Supporting DevOps in build and release automation processes. Maintaining and providing technical support for existing web and backend applications through debugging and troubleshooting. Coordinating with external stakeholders and customers to resolve issues.  Skill Sets:  Proficiency in programming languages such as C#, .NET, Java, ArcGIS, Angular, or Python. Strong knowledge and experience in: Databases, including MSSQL, Oracle, and MongoDB. Windows and/or Shell Scripting. Message Queues such as RabbitMQ or equivalents. Event streaming technologies like Kafka. Unstructured/NoSQL databases like MongoDB. Experience in software architecture design, with familiarity in: DevOps tools like Gitlab, Docker, Jenkins, or equivalents. Big Data and Data Analytics platforms such as Hadoop. Agile Methodologies like Scrum. UI/UX Design principles. Competence in full-stack software development.",Atomic Recruitment Pte. Ltd.
